,log2exp,logFC,pval,FDR
Cxcl10,11.0164262494002,-4.63022012450738,2.61493585483183e-21,2.31264927001327e-18
Acod1,10.5182774903014,-4.4953183437305,3.14213198644525e-16,8.173239790624071e-14
Slfn4,9.8073884664742,-4.48781074361714,7.78556284566605e-16,1.8443442269750998e-13
Cxcl9,12.5910158028178,-4.0288726914404,1.09361035200105e-07,4.26390445509228e-06
Serpina3g,9.74191167392488,-3.87475052843517,2.57539730306155e-08,1.21153264618491e-06
Gbp4,9.57248970627083,-3.79230265674044,1.23048526126959e-11,1.21818040865689e-09
Gm12250,10.0873707545287,-3.74951073168071,2.94012219061102e-13,3.97996540618834e-11
Irf1,12.8771509706053,-3.72186597508325,2.86449553017802e-37,1.26667992344472e-33
S100a9,8.76763273041315,-3.6997885320985,2.51827594944135e-12,2.90499554306861e-10
Rtp4,10.1108548289934,-3.64865756455155,1.06042818102876e-14,1.9813577816235998e-12
Ifit1,9.08853061788776,-3.56914096165579,1.21118494692718e-17,4.11989218100922e-15
Il2rb,9.01847066843613,-3.52163319524787,1.2131902076834e-18,5.36472709837597e-16
Gbp2,11.5967591831401,-3.48266151429689,4.3980541080104e-11,3.94220174303149e-09
Gbp3,10.1321605261104,-3.41299480649829,3.35879383879239e-10,2.48926028298435e-08
Gbp5,9.97898845416017,-3.40743039088698,6.7605383897126806e-15,1.3797738811988999e-12
Csf1,8.51490578714972,-3.38920931827636,6.9970420097965e-11,6.14720260277883e-09
Oas3,9.33004542230987,-3.37566560081565,4.84401982320505e-14,7.560090232310369e-12
Fgl2,9.30249613217652,-3.33806420115358,1.7717838401180898e-11,1.7032235089135201e-09
Slfn5,8.92860061993715,-3.29074459176878,7.25881541637254e-15,1.41610948990585e-12
Irf7,9.94006884440284,-3.28555821046479,6.56520637905268e-10,4.5598967447389e-08
Irgm1,10.2405926001497,-3.27100628745422,3.3745701352103397e-12,3.85922822531899e-10
Slfn1,8.71355358330706,-3.21416984779208,3.8681866303026e-12,4.3122788017169006e-10
Cmpk2,8.6303176917901,-3.19081868457078,2.8099705124222e-17,9.09196800433972e-15
Il18bp,9.77374592703878,-3.18576423094377,1.69916712557478e-07,6.24408617392659e-06
Oasl2,9.00299077184055,-3.1833925738846,5.5644170611721e-13,7.166753080923209e-11
Gzmb,8.02840492677083,-3.07385248666081,5.817705237358011e-15,1.22504250283796e-12
Ifi205,8.44777202786556,-3.04814381780508,4.933058436220071e-09,2.85772721462426e-07
Plac8,8.43795431051693,-3.02405843652113,8.62322001611835e-12,8.73249135372717e-10
Ly6i,8.91772429741842,-3.01808725120707,5.7525366874232e-05,0.0009746251812944
Slamf8,8.60406411445996,-2.99138066774058,1.13273009967631e-06,3.33928833384577e-05
Fos,13.0601869324328,2.94665523853928,9.492894415143821e-97,1.2593273731129798e-92
Oasl1,8.23973111161754,-2.89989266854357,2.09774995831928e-19,1.2547159910698099e-16
Vps37b,8.44492859896713,-2.86168037448107,4.75026454187636e-14,7.502024930063299e-12
Il1r2,7.70865283568653,-2.83406397646096,8.31593878901247e-09,4.46636615283561e-07
Nkg7,7.83165912064304,-2.83151033428684,5.54371764570324e-17,1.63428796195332e-14
Ly6a,8.13948029592867,-2.82791224160428,8.33795326349957e-15,1.5801612570512199e-12
Ms4a4b,8.03414936672741,-2.82053282264696,2.48556109986374e-14,4.1738548798471395e-12
Ccl5,8.78917134083965,-2.81029871444334,9.96300793756056e-19,4.67294647379699e-16
Thy1,9.14017294727298,-2.78069112698361,3.2695445494098603e-17,1.03270899982074e-14
Tcf7,8.24234711986815,-2.77351691408334,2.6242556696715603e-15,5.707110772764409e-13
H2-Q6,11.1100255753951,-2.76454406497947,6.6563821312182905e-09,3.7102338383505e-07
Nlrc5,9.16593635760401,-2.70179999132079,9.309198189620131e-21,7.26446018726474e-18
Osgin1,8.42748745170442,-2.69460088473851,1.81873784743608e-26,3.0159220355108904e-23
Zbp1,10.2451152495563,-2.68982511321594,1.4468415509086e-09,9.27236715669248e-08
Oas2,8.00457161516766,-2.6833636239079,4.16549998192014e-12,4.60496023001272e-10
AW112010,12.6554002814084,-2.64889335577352,1.18577728649369e-08,6.07356041800205e-07
Igtp,9.65515800115474,-2.6408300502945,2.17878918094812e-12,2.5834177355798e-10
Gdap10,8.82908403823054,-2.60891465836629,4.79528287347294e-18,1.8330315954892202e-15
C4b,7.78880894570062,-2.6082777810786,0.0006481237709715,0.0069619513730432
Lck,7.75720478725303,-2.57896972242663,1.1451851340965701e-15,2.57491965913984e-13
Fam26f,8.39416493088077,-2.57269635643894,1.00056908233309e-08,5.28826671164571e-07
AA467197,8.90252167132374,-2.53581422357445,1.1037971704895e-14,2.0337462866268997e-12
Gadd45b,10.5361460129915,-2.52839505525093,4.2490851876091605e-19,2.25473456395293e-16
Sell,7.70323069704334,-2.51655806805933,6.99029242170565e-08,2.90699746916449e-06
Ifi203,8.8589738881167,-2.46876191522989,2.8443664013497e-13,3.8900375959077495e-11
Rsad2,7.7102324551595,-2.45544407831852,1.54617870120895e-12,1.88179877525118e-10
H2-Q7,9.23813931847236,-2.42708397313861,4.28152724880944e-11,3.8638598967827305e-09
Cd8b1,7.35730762500525,-2.42333545454062,7.20791383072711e-10,4.95441372427077e-08
Arid5a,8.18449657885848,-2.40457771381122,1.95374326980629e-14,3.45578109563336e-12
Hdc,7.29129862617106,-2.38795889618901,5.77775170084483e-07,1.90665806127879e-05
Slfn8,8.04044194419029,-2.33060858312623,4.37087983297535e-06,0.0001100267397803
Ccrl2,10.3322153041278,-2.32269368392737,2.5336059333624302e-14,4.20135203899825e-12
Serpina3f,7.28334563256831,-2.29189898378672,6.20053979224753e-06,0.0001506526756116
Cd8a,7.28771237954945,-2.28441963817115,1.5616313629002098e-11,1.52327953384075e-09
Sh2d2a,7.30340024044949,-2.27363528239533,1.12486914146371e-16,3.10885708972032e-14
Srgn,11.2380688078495,-2.26577779799308,2.21682162367695e-09,1.36783049579993e-07
Itgam,8.39624798755054,-2.24992607544785,1.9676701206419403e-09,1.22549820753221e-07
Mndal,9.29493978098883,-2.24779841412248,5.5460560826148e-14,8.4567793094216e-12
Ets1,7.83174707644498,-2.24716140075934,5.759421499834641e-17,1.66096707862622e-14
Nfkbia,12.9450779951078,-2.21482208233019,6.9749902653967894e-40,4.62651104303769e-36
Tap1,11.1871028726472,-2.20979991532413,3.4196484530721e-11,3.1947222801728503e-09
Ctsw,7.56483753356432,-2.2070271522764,9.0710761369243e-16,2.07477406952479e-13
Il1b,10.2238592606772,-2.20342368396961,2.74069316447603e-09,1.66779979449261e-07
Ablim1,7.48778421817198,-2.19925033962619,6.00105835665533e-10,4.28010968598869e-08
Ifi204,8.5629048855653,-2.19633698690174,2.64949913638773e-06,7.01561986892607e-05
Cd3e,7.36668648518346,-2.18684650358838,2.04899071140317e-10,1.63746450466714e-08
Sept1,7.5338704523155,-2.18239843095086,8.265423948270639e-12,8.4345472382891e-10
Gimap4,7.3176010412504,-2.17533090155439,1.21441213205933e-10,1.00689945899369e-08
Sema4d,8.78869567854863,-2.16550560200969,8.5272494187284e-11,7.345616284990321e-09
Gm4951,7.14868841611756,-2.15543480947757,8.8807773404593e-07,2.72084046647882e-05
Satb1,7.31816617609116,-2.14494494045702,1.5460838514446402e-09,9.81356381495917e-08
H2-Eb1,13.5169447970276,-2.13206316594005,3.7731618197089e-05,0.0006885112063309
Cd247,7.26535458520177,-2.11728542407073,5.61189436798313e-12,5.95579125485313e-10
S1pr1,7.55272245852776,-2.06245974309682,6.69887071727271e-13,8.463544660508549e-11
Ifi27l2a,9.37672834621264,-2.04008648863632,3.01023590756738e-06,7.89205327070925e-05
Ltb,7.37919783837918,-2.02462358812915,3.20640708679225e-16,8.18003777180501e-14
H2-Aa,13.9538124778887,-2.02111927883747,1.43400663358097e-05,0.000301960825414
H2-Ab1,13.5474652664051,-2.0088005689748,0.0002356003877102,0.0031068337409182
Slamf7,7.91782787456787,-2.00470663856921,8.1577120146128e-06,0.0001901936864426
Il1a,10.4504523524469,-2.00345836848571,1.78488776025639e-22,1.8214093098124e-19
Ciita,9.50945887853133,-2.00301654814595,4.53335574306855e-06,0.0001139005630445
Gimap6,7.25075897498635,-2.00278712788579,8.30799987329661e-11,7.250916205207431e-09
